title,synopsis,type_,episodes,rating
Q,"Monsters and a post apocalyptic setting, a motorcycle riding MC and a weird young girl who likes donuts.",Manga,4,7.11
Q and A,"The Andou family has just moved back into town after a six year absence. Atsushi finds he is now dealing of living in the specter of his big brother, being known in town as Big Brother's Little Brothe...",Manga,6,6.99
Q no Keifu,,Manga,2,-
Q-Jutsuka!,,Light Novel,3,-
Q-Robo Transformer,A 4-koma gag manga based on Transformers.,Manga,1,-
"Q. Moshikashite, Isekai wo Sukutta Eiyuu-san desu ka?",,Light Novel,-,-
Q.E.D. iff: Shoumei Shuuryou,,Manga,-,-
Q.E.D.: Shoumei Shuuryou,"Touma Sou is an MIT-graduated-student who comes back to Japan because he wants to know how it feels to be a high school student. Mizuhara Kana is a strong girl who loves sports. Together, they are par...",Manga,50,7.82
q.Tenjou no Ongaku,,Manga,-,-
Q3,,Manga,1,-
QG: Q-to Girls,"1. Suki to Ienai…. Suki to Iwanai!! 2. Suki to Iwasetai!!? 3. Shitagi Sukeru Natsufuku (Transparent Underwear Under the Summer Clothes) 4. Suki Kirai Natsu Owari (Love, Hate, Summer, The End) 5. Osana...",Manga,1,-
Qgirl,,Manga,1,-
Qi Dan Qu,"Men Ji Yu of the Tian Tai Tribe has been invited by Ba Cha Ke Han to live with the tribe of Qi Dan. But because he can't understand the language of Qi Dan, the people of Qi Dan can't get along with Me...",Manhua,1,6.83
Qi Shi Gong Zhu,"Yashi has wandered with her father for fourteen years, and only now has she discovered that her own mother is actually Bocinia’s current queen. To see her mother, from whom she was separated when she...",Manhua,4,7.55
Qing Se Guo Shi,"Sentimental Fruits is a collection of a few outstanding short stories in which pictures are used in place of dialogue. That’s right, these stories don’t have dialogue. The masterful You Gui Xiu’s meti...",Manhua,1,-
Qing You Du Zhong,"[from Sherbet Lemon] The story begins with a rich young lady named Mo Kai who is over the age of marrying but with with no proposed marriage. One day, she met a gentle scholar named Yi Nuo-Sheng and t...",Manhua,-,-
Qishi Huanxiang Ye,"Lin is just an ordinary high school student. But on the day she transfers to a new school, she gets a video game, which sends her to the world of King Arthur. There, she meets a mysterious wizard, who...",Manhua,24,7.49
Qko-chan,"In the near-future on planet Earth, a world gone mad where never-ending war is a fact of life, Kirio is the coolest kid at school. Up in the sky, a giant robot is fighting a fleet of gunships, but the...",Manga,2,6.55
QooPA,Anthology of one-shots by various mangaka.,Manga,-,-
QP,"After a four-year absence, Ishida Kotori (QP) returns to the city where even his face instills fear amongst the locals. Trying desperately to move away from his once violent past and live an honest li...",Manga,8,7.58
QP,"At the infamous QP club, the club for Quality People, it is always surrounded by high school girls who wants to join the place in order to get close to the 2 hot club members. Sadly, because of the gi...",Manga,2,-
QP Gaiden,,Manga,1,7.15
QP Gaiden: Azuma Ryou,,Manga,4,-
QP: Azuma Ryou - Desperado,,Manga,-,-
QQ Sweeper,"In human hearts, negative energy sometimes finds a place to dwell. This negativity can begin to take shape into monstrous creatures, which can only be dealt with by ""Sweepers,"" special people with the...",Manga,3,7.71
Qtμt,"Hana was enjoying her peaceful days at school until she received a mysterious letter which said: ""Do not say a word.""... She doesn't know what to do, thus she begs for help of her friends to find out...",Manga,-,6.18
L Change the WorLd,"L Change the WorLd is a sequel to the Death Note movie based on the popular anime. This movie is entirely dedicated to L, and his last 23 days on Earth after having caught Kira. This is a novel versio...",Light Novel,1,7.98
Qualidea Code,"The story takes place in a world where people continue their war against the ""unknown""—the enemy of humanity. Children who have been evacuated to a cold sleep facility during the invasion by the ""unkn...",Light Novel,3,-
Qualidea Code,"The story takes place in a world where people continue their war against the ""unknown""—the enemy of humanity. Children who have been evacuated to a cold sleep facility during the invasion by the ""unkn...",Manga,2,-
Qualidea Code: Doudemo Ii Sekai nante,,Light Novel,-,-
Qualidea Code: Itsuka Sekai wo Sukuu Tame ni,,Light Novel,2,-
Qualidea Code: Sonna Sekai wa Kowashiteshimae,,Light Novel,-,-
Quanzhi Gaoshou,"Widely regarded as a trailblazer and top-tier professional player in the online multiplayer game Glory, Ye Xiu is dubbed the ""Battle God"" for his skills and contributions to the game over the years. H...",Manhua,-,7.81
Quartet Buyobuyo,,Light Novel,1,-
Quartet Game,"Between the short stories (included in the compilation), Quartet Game is the longest and, probably, the most enjoyable. A quartet in a music school will discover by pure chance a hidden partiture, tho...",Manga,1,-
Quartet Lovers: Otome wa Yon Ouji no Mitsuai ni Oboreru,,Light Novel,1,-
Que Será Será,"Sakamoto Riku lives more or less a secluded life working as an ero manga artist, until one day, his younger sister Sora arrives at his home, telling him that their father has disappeared somewhere lea...",Manga,4,-
Queen Bonjourno! Joou wa Seifuku wo Nuida,"This is ""The Story of Queens and School Girls for One Thousand Years"".... Juliet, a princess, was in love with the main character. But she took over the throne, and needed to work for the people, hold...",Light Novel,1,-
L'alleluja des Anges,"Sei Kagano has an angel gene, which gives the bearer special powers. For Sei, every time he smells roses, he transforms into the White Maria, a heavenly lady with the power of prophecy. Malloy, who be...",Manga,2,6.55
L'Amitié,"The sequel to the critically-acclaimed Japan: As Viewed by 17 Creators takes the cross-cultural comics exchange to the other Asian epicenter of graphic storytelling, Korea. French and Korean creators,...",Manhwa,1,-
L'Arc~en~Ciel Maximum,,Manga,-,-
L'Etoile Solitaire,"Micah, a cut throat American businessman is intent on taking over a floundering Japanese hotel chain and whipping it into shape. All that currently stands in his way is its clumsy yet endearing presid...",Manga,1,7.02
L'idiota,"A story of Seung-ryong, a 27 year old, mentally challenged guy because of a brain damage he suffered when young. A huge online hit.",Manhwa,2,-
L'Oiseau Bleu,,Manga,1,-
L-Egg,,Doujinshi,1,-
L.A.G. Complex,,Manga,1,-
L.A.T.: Kyuushuu! Matsukita Koukou Houritsu Soudan-bu,,Light Novel,2,-
L.O.F,1. Nakayoki Koto wa Utsukushii Koto kana? 2. Kanojo no Yuuutsu 3. I wish 4. Chotto Stalker kamo!? 5. Ki ni Naru Otonari-san 6. Hontou ni Attara Kowai Hanashi 7. Sokokara Hajimaru 8. Koi seyo Mana-chan...,Manga,1,-
L: Ladies & Girls Love,Yuri anthology by various mangaka.,Manga,-,-
L: Sagishi Flatland no Osoraku wa Karei naru Densetsu,,Light Novel,4,-
Queen Emeraldas,"Emeraldas navigates the sea of stars—and swears to do so until the flame of her life is extinguished. Aboard her ship, the Queen Emeraldas, she sails in search of a certain object, and along the way e...",Manga,4,7.21
Queen of Circus no Neko,,Manga,-,-
Queen Ring: Joou Heika no Kyuujitsu,,Light Novel,1,-
Queen's Blade Rebellion: Kedakaki Chikai,"Power corrupts, and it when it appears that the once noble Queen Claudette's ways have turned to oppression and heretical persecution, it's up to a new generation of warriors to step up to the plate a...",Light Novel,1,-
